Date,Index Level
2020-02-03,100.38097027297287
2020-02-04,100.64924611132594
2020-02-05,100.20276932096253
2020-02-06,99.95688347481796
2020-02-07,99.37926805355515
2020-02-10,99.4143244132653
2020-02-11,98.80710028587109
2020-02-12,98.19642894461373
2020-02-13,97.52831744794797
2020-02-14,96.85855071181716
2020-02-17,97.0852722976832
2020-02-18,96.62501440396356
2020-02-19,95.97081404085812
2020-02-20,94.15334999365642
2020-02-21,92.85724749889656
2020-02-24,91.84820473326852
2020-02-25,91.0851324024175
2020-02-26,89.79928145356689
2020-02-27,88.55778823280124
2020-02-28,86.94421790288945
2020-03-02,87.9756409635207
2020-03-03,89.38406420916678
2020-03-04,90.21291282830599
2020-03-05,91.09192380030079
2020-03-06,91.50409662762706
2020-03-09,91.75073215706404
2020-03-10,91.29804860778306
2020-03-11,90.86300607652889
2020-03-12,90.33959039091849
2020-03-13,89.51258733421702
2020-03-16,89.24510310441725
2020-03-17,89.43962305314923
2020-03-18,89.85391619362505
2020-03-19,89.97699717417383
2020-03-20,89.91967630499396
2020-03-23,89.4991523196977
2020-03-24,89.18188717465301
2020-03-25,87.6681302232731
2020-03-26,86.02329861719251
2020-03-27,84.63972962680324
2020-03-30,83.49215979124313
2020-03-31,81.27289714363798
2020-04-01,81.4527786645396
2020-04-02,81.44871156400205
2020-04-03,81.91952651003254
2020-04-06,82.15346908905723
2020-04-07,82.9720988295297
2020-04-08,83.83481093011095
2020-04-09,84.23934690127169
2020-04-10,84.50604228758469
2020-04-13,85.23580086349774
2020-04-14,86.14471126888489
2020-04-15,87.33150610604102
2020-04-16,89.23487257256733
2020-04-17,90.49476014506733
2020-04-20,91.32096781443542
2020-04-21,91.40442829449913
2020-04-22,92.29919831643757
2020-04-23,94.0223253004309
2020-04-24,96.57092359812532
2020-04-27,100.35233354573188
2020-04-28,103.67322191944118
2020-04-29,106.83993124102318
2020-04-30,109.82726444855106
2020-05-01,108.65937317634742
2020-05-04,107.36419034858604
2020-05-05,105.71475864240112
2020-05-06,103.52578174631154
2020-05-07,101.12764955276482
2020-05-08,98.72542488880606
2020-05-11,95.77806239750521
2020-05-12,92.97245753387037
2020-05-13,89.59828844678822
2020-05-14,86.14828565015098
2020-05-15,82.88772080144473
2020-05-18,79.73404455937586
2020-05-19,77.11685035938916
2020-05-20,74.75042510266148
2020-05-21,72.87604383291801
2020-05-22,70.80100766267125
2020-05-25,68.81460342089417
2020-05-26,66.52095863982572
2020-05-27,64.49068635143429
2020-05-28,62.68902978920752
2020-05-29,61.25950368857643
2020-06-01,61.36458909102523
2020-06-02,61.23142494966484
2020-06-03,61.341007662686685
2020-06-04,60.66296238947623
2020-06-05,59.88096505231327
2020-06-08,58.803741996691095
2020-06-09,57.5299419998357
2020-06-10,56.91524697919908
2020-06-11,56.54403923102173
2020-06-12,56.404819624158655
2020-06-15,56.21605736391288
2020-06-16,55.85993738003024
2020-06-17,55.35295599625692
2020-06-18,54.3465102004577
2020-06-19,53.12168525606582
2020-06-22,52.26080848276772
2020-06-23,51.028997302859615
2020-06-24,49.087702182060745
2020-06-25,47.38702288337409
2020-06-26,45.805683861141894
2020-06-29,44.18742878691945
2020-06-30,42.943458636995935
2020-07-01,43.68602251191287
2020-07-02,44.82492583939643
2020-07-03,46.19935399774718
2020-07-06,47.33438972824151
2020-07-07,48.721520929937796
2020-07-08,50.29058082173032
2020-07-09,52.056052252302614
2020-07-10,54.59221739919701
2020-07-13,56.88852418074711
2020-07-14,59.65732350455313
2020-07-15,62.34283160191885
2020-07-16,65.93351192987313
2020-07-17,70.28535153490535
2020-07-20,75.29404706222684
2020-07-21,80.38616779403124
2020-07-22,85.73637322445377
2020-07-23,91.86588246641493
2020-07-24,98.85061168783506
2020-07-27,106.2803358692157
2020-07-28,113.32163539386228
2020-07-29,120.9218685664854
2020-07-30,130.29645210392331
2020-07-31,139.53666829585507
2020-08-03,140.72582947216034
2020-08-04,140.74562593438418
2020-08-05,140.4779963085928
2020-08-06,139.97964327725214
2020-08-07,138.47100978199973
2020-08-10,136.2877913199981
2020-08-11,134.53232666044804
2020-08-12,133.35888238098605
2020-08-13,131.3907562958492
2020-08-14,129.62028813209506
2020-08-17,127.4695053652496
2020-08-18,125.21839656951225
2020-08-19,123.89324206285237
2020-08-20,122.70778067024918
2020-08-21,120.83497248526835
2020-08-24,120.22068486047357
2020-08-25,118.82218311879642
2020-08-26,119.01020373939735
2020-08-27,119.89740166507218
2020-08-28,121.2401158624364
2020-08-31,121.71084203556518
2020-09-01,122.42044322526439
2020-09-02,123.42239130763038
2020-09-03,123.93548754930758
2020-09-04,124.62571572565655
2020-09-07,125.04008566563274
2020-09-08,124.29637595154216
2020-09-09,123.71893715908051
2020-09-10,123.2751410335135
2020-09-11,123.15421226471801
2020-09-14,123.08048472693329
2020-09-15,122.78151401285069
2020-09-16,123.20384951571216
2020-09-17,123.54576218825707
2020-09-18,124.20119949788521
2020-09-21,125.40197095660967
2020-09-22,125.41979172360924
2020-09-23,124.43943201607179
2020-09-24,123.41677165448992
2020-09-25,122.46529556614871
2020-09-28,121.39356998824778
2020-09-29,120.14057299210828
2020-09-30,119.43739425659943
2020-10-01,120.82285263102588
2020-10-02,121.9277183602324
2020-10-05,122.87152288079518
2020-10-06,123.07329529846018
2020-10-07,123.74307765067009
2020-10-08,125.40145112763848
2020-10-09,127.16467399484044
2020-10-12,129.06281810386363
2020-10-13,130.70277605673454
2020-10-14,132.75116397087103
2020-10-15,134.9799066544975
2020-10-16,136.92502973311193
2020-10-19,139.45388383816913
